LPAP,Hours
LPAP 100,1
LPAP 104,1
LPAP 107,1
LPAP 109,1
LPAP 110,1
LPAP 111,1
LPAP 113,1
LPAP 115,1
LPAP 116,1
LPAP 117,1
LPAP 118,1
LPAP 119,1
LPAP 120,1
LPAP 125,1
LPAP 126,1
LPAP 127,1
LPAP 130,1
LPAP 131,1
LPAP 132,1
LPAP 133,1
LPAP 134,1
LPAP 135,1
LPAP 136,1
LPAP 137,1
LPAP 138,1
LPAP 139,1
LPAP 141,1
LPAP 144,1
LPAP 145,1
LPAP 147,1
LPAP 149,1
LPAP 150,1
LPAP 151,1
LPAP 152,1
LPAP 153,1
LPAP 155,1
LPAP 156,1
LPAP 157,1
LPAP 159,1
LPAP 161,1
LPAP 162,1
LPAP 164,1
LPAP 165,1
LPAP 166,1
LPAP 169,1
LPAP 170,1
LPAP 171,1
LPAP 172,1
LPAP 173,1
LPAP 175,1
LPAP 176,1
LPAP 177,1
LPAP 178,1
LPAP 180,1
LPAP 181,1
LPAP 182,1
LPAP 183,1
LPAP 185,1
LPAP 186,1
LPAP 187,1
LPAP 190,1
LPAP 191,1
LPAP 192,1
LPAP 193,1
LPAP 197,1
LPAP 198,1
LPAP 199,1
,
