BIOE,Hours,BIOE >300,BIOE > 400,BIOE_MA_C,BIOE_MA_1,BIOE_MA_2,CHBE_MA_1_3,CHBE_MA_2_E,CHBE_MA_5_E,DIII,GLHT_MI_1,EEB_MI_C,PJHC_MI_C_3
BIOE 201,,,,,,,,,,,,1,1
BIOE 202,1,,,,,,,,,,,,
BIOE 220,3,,,,,,,,,1,,,
BIOE 252,3,,,1,,,,,,,,,
BIOE 303,,,,,,,,1,,,,,
BIOE 307,3,1,,,,,,,,,,,
BIOE 320,1,1,,1,,,,,,,,,
BIOE 321,3,1,,,,,,1,,,,,
BIOE 322,3,1,,1,,,,1,,,,,
BIOE 330,3,1,,1,,,,1,,,,,
BIOE 332,3,1,,1,,,,,,,,,
BIOE 342,1,1,,1,,,,,,,,,
BIOE 360,3,1,,,,,,,,,,,1
BIOE 361,3,1,,,,,,,,,,,
BIOE 365,1,1,,,,,,,,,,,
BIOE 370,3,1,,1,,,1,1,,,,,
BIOE 372,3,1,,1,,,1,1,,,,,
BIOE 381,3,1,,,,,,1,,,,,
BIOE 383,3,1,,1,,,,1,,,,,
BIOE 385,1,1,,1,,,,,,,,,
BIOE 391,3,1,,1,,,,,,,,,
BIOE 400,V,1,1,,,,,,,,,,
BIOE 401,V,1,1,,,,,,,,,,
BIOE 403,,1,1,,,,,,,,,,
BIOE 405,0,1,1,,,,,,,,,,
BIOE 408,3,1,1,,,,,,,,,,
BIOE 420,3,1,1,1,,,1,1,,,,,
BIOE 422,3,1,1,,,,,,,,,,
BIOE 425,3,1,1,,,,,1,,,,,
BIOE 431,,1,1,,,,,,1,,,,
BIOE 434,3,1,1,,,,,,,,,,
BIOE 440,1,1,1,,,,,1,,,,,
BIOE 442,1,1,1,,1,,,,,,,,
BIOE 443,1,1,1,,1,,,,,,,,
BIOE 444,1,1,1,,1,,,,,,,,
BIOE 445,1,1,1,,1,,,,,,,,
BIOE 446,1,1,1,,1,,,,,,,,
BIOE 447,1,1,1,,1,,,,,,,,
BIOE 451,3,1,1,1,,,,,,,,,
BIOE 452,3,1,1,1,,,,,,,,,
BIOE 454,3,1,1,,,,,,,,,,
BIOE 460,3,1,1,,,,1,1,1,,,,
BIOE 464,,1,1,,,,,1,,,,,
BIOE 470,4,1,1,,,,1,1,,,,,
BIOE 481,3,1,1,,,,,,,,,,
BIOE 482,3,1,1,,,,,1,,,,,
BIOE 484,3,1,1,,,,,,,,,,
BIOE 485,3,1,1,,,,,1,,,,,
BIOE 486,3,1,1,,,,,,,,,,
BIOE 490,3,1,1,,,,,,,,,,
BIOE 498,3,1,1,,,,,,,,1,,
BIOE 620,,1,1,,,,,1,,,,,
