CAAM,Hours,MATH_Z_B_3_1,ASTR_MA_C,ASTR_MA_BA_C_3,PHYS_MA_BA_C_1,COGS_MA_C_1,COGS_MA_4_C,ELEC_MA_C_1,ELEC_MA_C_2,STAT_MA_C_1,PHYS_MA_1,PHYS_MA_2,COMP_MA_C_2,ESCI_MA_C_1,PHYS_MA_S_4,PHYS_MA_S_4_1,PHYS_MA_S_4_2,MANA_MA_C_4,BIOE_MA_C,CEVE_MA_C,CHBE_MA_C,CHBE_MA_1_4,CHBE_MA_3_C,CHBE_MA_3_E,MECH_MA_C,CAAM_MA_C,CAAM_MA_1,CAAM_MA_2,CAAM_MI_C,CAAM_MI_1,CAAM>300,CAAM>400,DIII
CAAM 210,3,,,1,1,1,,,1,,,,,1,1,,,,1,1,,,,,1,1,,,1,,,,1
CAAM 211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CAAM 335,4,1,,,1,,,1,,1,,1,1,,,,,,,1,,1,1,,1,1,,,1,,1,,1
CAAM 336,3,,1,,1,,,,,1,1,,,,,,,,,,1,,,,1,,1,,,1,1,,
CAAM 353,,,,,1,,,,,,,,,,,1,,,,,,1,1,,,,,,,,1,,
CAAM 378,3,,,,1,,,,,,,,,,,,,1,,,,,,1,,1,,,,1,1,,
CAAM 401,3,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,
CAAM 402,3,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,
CAAM 415,3,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
CAAM 416,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
CAAM 420,3,,,,1,,,,,,,,,,1,,,,,,,1,1,,,,,,,,1,1,
CAAM 423,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
CAAM 435,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
CAAM 436,3,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,
CAAM 440,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
CAAM 452,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,1,
CAAM 453,3,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,1,
CAAM 454,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,
CAAM 469,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
CAAM 470,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
CAAM 471,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,
CAAM 474,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
CAAM 480,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
CAAM 490,V,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
CAAM 491,V,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
CAAM 495,V,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,
CAAM 496,V,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,
CAAM 498,V,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
CAAM 499,V,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
CAAM 520,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,
