COMP,Hours,COMP>300,CAAM_MA_C,ELEC_MA_C_2,ELEC_MA_S_1,COMP_MA_C,COMP_MA_C_3,COMP_MA_C_4,COMP_MA_C_5,COGS_MA_C_1,COGS_MA_E,ESCI_MA_C_1,DIII
COMP 100,3,,,,,,,,,,,,1
COMP 101,1,,,,,,,,,,,,
COMP 110,3,,,,,,,,,,,1,1
COMP 130,4,,,,,,,,,,,,
COMP 140,4,,1,1,,,1,,,1,,,1
COMP 160,4,,1,,,,1,,,,,,1
COMP 162,3,,,,,,,,,,,,
COMP 170,4,,1,,,,,,,,,,
COMP 182,4,,,,,1,,,,,,,
COMP 200,3,,,,,,,,,1,,,1
COMP 201,4,,,,,,,,,1,,,
COMP 202,4,,,,,,,,,,,,
COMP 211,4,,,,,,,,,,1,,1
COMP 215,4,,,,,1,,,,,,,
COMP 221,4,,,,1,1,,,,,,,
COMP 280,3,,,,,,,,,,,,
COMP 281,3,,,,,,,,,,,,
COMP 290,V,,,,,,,,,,,,
COMP 300,3,1,,,,,,,,,,,1
COMP 301,3,1,,,,,,,,,,,1
COMP 310,4,1,,,,1,,,,,,,
COMP 311,4,1,,,,,,,,,,,
COMP 314,4,1,,,,,,,,,,,
COMP 322,4,1,,,1,1,,,,,,,
COMP 326,3,1,,,,,,,,,,,
COMP 327,3,1,,,,,,,,,,,
COMP 360,4,1,,,,,,,,,,,
COMP 370,3,1,,,,,,,,,,,
COMP 381,V,1,,,,,,,,,,,
COMP 400,1,1,,,,,,,,,,,
COMP 402,4,1,,,,,,,,,,,
COMP 405,4,1,,,,,,,,,,,
COMP 407,3,1,,,,,,,,,,,
COMP 409,3,1,,,,,,,,,,,
COMP 410,4,1,,,,,,,,,,,
COMP 411,4,1,,,,,,1,,,,,
COMP 412,4,1,,,,,,1,,,,,
COMP 413,4,1,,,,,,,,,,,
COMP 415,4,1,,,,,,,,,,,
COMP 420,4,1,,,,,,,,,,,
COMP 421,4,1,,,1,1,,,,,,,
COMP 422,4,1,,,,,,,,,,,
COMP 424,4,1,,,,,,,,,,,
COMP 425,4,1,,,,,,,,,,,
COMP 429,4,1,,,1,,,,,,,,
COMP 430,4,1,,,1,,,,,,,,
COMP 435,3,1,,,,,,,,,,,1
COMP 440,4,1,,,,,,,,,1,,
COMP 446,4,1,,,1,,,,,,,,
COMP 450,4,1,,,,,,,,,1,,
COMP 460,4,1,,,,,,,,,,,
COMP 470,4,1,,,,,,,,,,,
COMP 481,3,1,,,,,,,1,,,,
COMP 482,3,1,,,1,,,,1,,,,
COMP 485,3,1,,,,,,,,,,,
COMP 490,V,1,,,,,,,,,,,
COMP 491,3,1,,,,,,,,,,,
COMP 498,3,1,,,,,,,,,,,
