ELEC,Hours,COGS_MA_4_C,COGS_MA_E,PHYS_MA_S_2_1,PHYS_MA_S_2_2,ELEC_MA_C,ELEC_MA_C_3,ELEC_MA_S_1,ELEC_MA_S_2,ELEC_MA_S_3,MANA_MA_C_3,BIOE_MA_C,COMP_MA_C,CHBE_MA_1_6,CHBE_MA_5_E,DIII,GLHT_MI_1
ELEC 201,4,,1,,,,,,,,,,,,,1,
ELEC 220,3,,,,,1,,,,,,,1,,,1,
ELEC 234,3,,,,,,,,,,,,,,,1,
ELEC 241,4,,,,,1,,,,,,,,,,,
ELEC 242,4,,,,1,1,,,,,,,,1,,,
ELEC 243,4,,,,1,,,,,,,1,,,,1,
ELEC 261,3,,,,,1,,,,,,,,1,,,
ELEC 262,3,,,,,,,,1,,,,,,,,
ELEC 281,3,,,,,,,,,,,,,,,,
ELEC 301,3,,,,,,,,,,,,,,,,
ELEC 302,3,,,,,,,,,1,,,,,,,
ELEC 303,3,,,,,1,,,,,,,,,,,
ELEC 305,3,,,,,1,,,,,,,,,,,
ELEC 306,3,,,,,,,,1,1,,,,,,,
ELEC 322,4,,,,,,,,,,,,,,,,
ELEC 323,4,,,,,,,1,,,,,,,,,
ELEC 326,3,,,,,1,,,,,,,,,,,
ELEC 327,3,,,,,,1,,,,,,,,,,
ELEC 331,,,,,,,,,,,1,,,,,1,
ELEC 332,3,,,,,,1,,,,,,,,,,
ELEC 342,4,,,1,,,,1,1,,,,,,,,
ELEC 345,3,,,,,,,,,,,,,,,,
ELEC 361,3,,,,,,,,1,,,,,,1,,
ELEC 364,3,,,1,,,1,,,,,,,,,,
ELEC 381,3,,,,,,,,,1,,,,,,,
ELEC 393,1,,,,,,,,,,,,,,,,
ELEC 394,2,,,,,,,,,,,,,,,,
ELEC 395,V,,,,,,,,,,,,,,,,
ELEC 420,3,,,,,,,1,,,,,,,,,
ELEC 421,4,,,,,,,1,,,,,,,,,
ELEC 422,4,,,,,,,,,,,,,,,,
ELEC 424,4,,,,,,,1,,,,,,,,,
ELEC 425,4,,,,,,,1,,,,,,,,,
ELEC 429,4,,,,,,,1,,,,,,,,,
ELEC 430,3,,,,,,,,,1,,,,,,,
ELEC 431,3,,,,,,,,,1,,,,,,,
ELEC 433,3,,,,,,,,,1,,,,,,,
ELEC 434,3,,,,,,,,,1,,,,,,,
ELEC 435,3,,,,,,,,,1,,,,,,,
ELEC 436,3,,,,,,,,,1,,,,,,,
ELEC 437,3,,,,,,,,,1,,,,,,,
ELEC 438,3,,,,,,,,,1,,,,,,,
ELEC 439,4,,,,,,,,,1,,,,,,,
ELEC 446,4,,,,,,,1,,1,,,,,,,1
ELEC 450,4,,,,,,,,,,,,,,,,
ELEC 462,3,,,,,,,,1,,,,,,,,
ELEC 463,3,,,,,,,,,,,,,,,,
ELEC 481,3,1,,,,,,,,1,,,,,,,
ELEC 482,3,,,,,,,,,1,,,,,,,
ELEC 485,3,,,,,,,,,1,,,,,,,
ELEC 486,V,,,,,,,,,1,,,,,,,
ELEC 490,V,,,,,,,,,,,,,,,,
ELEC 494,3,,,,,,,,,,,,,,,,
ELEC 495,V,,,,,,,,,,,,,,,,
ELEC 497,0,,,,,,,,,,,,,,,,
ELEC 498,3,,1,,,,,,,,,,,,,,
