STAT,Hours,ECON_MA_2_C_1,FC_MI_C_1_C,FC_MI_C_1_E_2,FC_MI_C_2_C,CEVE_MA_C,CAAM_MA_2,DIII,ENVI_MA_S_4,COMP_MA_C_1,COGS_MA_E,SMGT_MA_C_1,MANA_MA_4,GLHT_MI_1,MANA_MA_C_3,MANA_MA_S_1,STAT_MA_C_2,MECH_MA_C_1,STAT_MA_C,STAT_MI_A_C,STAT_MI_A_E,STAT_MI_B_C_1,STAT_MI_B_C,STAT_MI_B_E
STAT 100,3,,,,,,,1,,,,,,1,,,,,,,,,,
STAT 280,4,,,,,,,1,,,,1,,,1,,,,,,,1,,
STAT 281,3,,,,,,,,,,,,,,,,,,,,,,,
STAT 300,3,,,,,,,1,1,,1,,,,,,,,,,1,,,1
STAT 305,4,,,,,,,1,1,,,,,,1,,,1,,,,1,,
STAT 310,3,1,1,,,,1,1,1,1,,,,,1,,1,1,,1,,,,1
STAT 312,3,,,,,1,,1,,1,,,,,,,1,,,,1,,,1
STAT 313,3,,,,,,,1,,,,,,,,,,,,,1,,,1
STAT 331,3,,,,,,1,1,,1,,,,,1,,,1,,,1,,,1
STAT 339,,,,,,,,,,,,,,,1,,,,,,1,,,1
STAT 340,1,,,,,,,,,,,,,,,,,,,,1,,,1
STAT 385,4,,,,,,,1,,,,,1,,,,,,,,,,1,
STAT 400,3,,,1,,,,,,,,,1,,,,,,,,1,,,1
STAT 405,3,,,,,,,1,,,,,,,,,,,1,1,,,,1
STAT 410,4,1,,1,,,,,,,,,1,,,,,,1,1,,,,1
STAT 411,3,,,,,,,,,,,,,,,1,,,,,1,,,1
STAT 421,3,,,,1,,,,,,,,1,,,,,,,,1,,,1
STAT 422,3,,,,,,,,,,,,,,,,,,,,1,,,1
STAT 423,3,,,,,,,,,,,,,,,,,,,,1,,,1
STAT 431,3,1,,,,,,,,,,,,,,,,,,,1,,,1
STAT 440,1,,,,,,,,,,,,,,,,,,,,1,,,1
STAT 449,3,,,,1,,,,,,,,,,,,,,,,1,,,1
STAT 450,,,,,,,,,,,,,,,,,,,1,,1,,,1
STAT 453,3,,,,,,,,,,,,,,,,,,,,1,,,1
STAT 470,4,,,,,,,,,,,,,,,,,,,,1,,,1
STAT 482,3,,,,,,,,,,,,,,,,,,,,1,,,1
STAT 484,3,,,,,,,,,,,,,,,,,,,,1,,,1
STAT 485,3,,,,,,,,,,,,,,,,,,,,1,,,1
STAT 486,3,,,,1,,,,,,,,1,,,,,,,,1,,,1
STAT 490,,,,,,,,,,,,,,,,,,,,,1,,,1
STAT 491,,,,,,,,,,,,,,,,,,,,,1,,,1
STAT 498,,,,,,,,,,,,,,,,,,,,,1,,,1
STAT 499,,,,,,,,,,,,,,,,,,,,,1,,,1
