ASIA,Hours,DI,DII,PJHC_MI_C_1,ASIA > 300,ASIA_MA_C_2,ASIA_MA_C_1
ASIA 140,3,,,,,1,
ASIA 209,,,,,,1,
ASIA 211,3,1,,,,1,1
ASIA 212,3,,1,1,,1,
ASIA 218,3,1,,,,1,
ASIA 221,,,,,,1,
ASIA 222,3,1,,,,1,
ASIA 230,3,,,,,1,
ASIA 231,3,,,,,1,
ASIA 232,3,,,,,1,
ASIA 240,3,,,1,,1,
ASIA 241,,,,,,1,
ASIA 250,3,,,,,1,
ASIA 302,3,,,,1,1,
ASIA 304,,,,,1,1,
ASIA 312,3,,,,1,1,
ASIA 315,3,1,,,1,1,
ASIA 318,3,,,,1,1,
ASIA 321,3,,,,1,1,
ASIA 322,3,1,,,1,1,
ASIA 323,3,,,,1,1,
ASIA 328,3,,,,1,1,
ASIA 329,3,1,,,1,1,
ASIA 330,3,,,,1,1,
ASIA 331,,,,,1,1,
ASIA 332,3,1,,,1,1,
ASIA 333,,,,,1,1,
ASIA 334,3,,,,1,1,
ASIA 335,3,1,,,1,1,
ASIA 336,,,,,1,1,
ASIA 340,3,,,,1,1,
ASIA 343,,,,,1,1,
ASIA 344,3,,,,1,1,
ASIA 346,3,1,,,1,1,
ASIA 350,3,1,,,1,1,
ASIA 360,3,1,,,1,1,
ASIA 361,3,,,,1,1,
ASIA 371,3,1,,,1,1,
ASIA 372,3,1,,,1,1,
ASIA 374,3,,,,1,1,
ASIA 376,3,1,,,1,1,
ASIA 379,3,,,,1,1,
ASIA 380,3,,,,1,1,
ASIA 381,3,,,,1,1,
ASIA 382,3,,,,1,1,
ASIA 387,3,,,,1,1,
ASIA 389,3,,,,1,1,
ASIA 390,3,,,,1,1,
ASIA 399,3,,,,1,1,
ASIA 401,V,,,,1,1,
ASIA 402,V,,,,1,1,
ASIA 412,3,,,,1,1,
ASIA 422,3,1,,,1,1,
ASIA 438,3,,,,1,1,
ASIA 439,3,,,,1,1,
ASIA 440,3,,,,1,,
ASIA 441,3,,,,1,1,
ASIA 474,3,,,,1,1,
ASIA 488,3,,,,1,1,
ASIA 490,3,,,,1,1,
ASIA 492,3,,,,1,1,
