CHIN ,Hours,DI,ASIA_MA_C_2
CHIN 101,5,,1
CHIN 102,5,,1
CHIN 201,4,1,1
CHIN 202,4,1,1
CHIN 203,3,1,1
CHIN 204,,,1
CHIN 211,3,1,1
CHIN 212,3,1,1
CHIN 215,3,,1
CHIN 222,4,,1
CHIN 223,4,,1
CHIN 300,0,,
CHIN 301,3,1,1
CHIN 302,3,1,1
CHIN 303,3,,1
CHIN 310,,1,
CHIN 311,,,1
CHIN 312,3,1,1
CHIN 313,3,1,1
CHIN 314,3,1,1
CHIN 315,3,1,1
CHIN 318,3,,1
CHIN 321,3,1,1
CHIN 322,3,1,1
CHIN 330,3,,1
CHIN 331,,,1
CHIN 332,3,1,1
CHIN 334,3,,1
CHIN 335,3,1,1
CHIN 399,V,,1
CHIN 401,3,,
CHIN 402,3,,
CHIN 411,3,1,1
CHIN 412,,,1
CHIN 422,3,1,1
,,,
