HIST,Hours,DI,DII,HIST >300,HIST > 400,HIST_MA_1,HIST_MA_2,HIST_MA_3,HIST_MA_4,HIST_MA_5,AS_MI_C_1,AS_MI_C_2,AS_MI_C_3,ENVI_MA_S_2,HISP_MA_C_3,ASIA_MA_C_1,ASIA_MA_C_2,GLHT_MI_2,JWST_MI_C,PJHC_MI_C_1,PJHC_MI_C_2,PJHC_MI_C_3,POST_MA_S_4,POST_MA_S_5
HIST 101,3,1,,,,,1,,,,,,,,,,,,,,,,,
HIST 102,3,1,,,,,1,,,,,,,,,,,,,,,,,
HIST 103,3,,,,,,,,,,,,,,,,,,,,,,,
HIST 104,3,,,,,,,,,,,,,,,,,,,,,,,
HIST 105,3,,,,,,,,,,,,,,,,,,,,,,,
HIST 106,3,,,,,,,,,,,,,,,,,,,,,,,
HIST 107,3,,,,,,,,,,,,,,,,,,,,,,,
HIST 108,3,1,,,,,,,1,,,,,,,,,,,,,,,
HIST 117,3,1,,,,,,1,,,,,,,,,,,,,,,,
HIST 118,3,1,,,,,,1,,,,,,,,,,,,,,,,
HIST 120,3,1,,,,1,,,,,,,,,,,,,,,,,,
HIST 124,3,1,,,,,,1,,,,,,,,,,,,,1,,,
HIST 125,,1,,,,,,1,,,,,,,,,,,,,,,,
HIST 126,,,,,,,,1,,,,,,,,,,,,,,,,
HIST 127,,,,,,,,1,,,,,,,,,,,,,,,,
HIST 128,,,,,,,,1,,,,,,,,,,,,,,,,
HIST 136,,,,,,,,1,,,,,,,,,,,,,,,,
HIST 139,,,,,,,,,1,,,,,,,,,,,,,,,
HIST 139,,,,,,,,1,,,,,,,,,,,,,,,,
HIST 143,,,,,,1,,,,,,,,,,,,,,,,,,
HIST 144,3,1,,,,,,,1,,,,,,,,,,,,,,,
HIST 151,3,1,,,,1,,,,,,,,,,,,,,,,,,
HIST 155,3,1,,,,1,,,1,,,1,,,,,,,,1,1,,,
HIST 159,3,1,,,,,,1,,,,,,,,,,,,,,,,
HIST 160,,,,,,,,1,,,,,,,,,,,,,,,,
HIST 161,,,,,,,,1,,,,,,,,,,,,,,,,
HIST 162,,,,,,,,1,,,,,,,,,,,,,,,,
HIST 165,3,1,,,,,,,,,,,,,,,,,,,,,,
HIST 166,3,1,,,,,,1,,,,,,,,,,,,,,,,
HIST 167,3,1,,,,,1,,,,,,,,,,,,,,,,,
HIST 168,,,,,,,,,1,,,,,,,,,,,,,,,
HIST 170,3,,,,,,1,,1,,,,,,,,,,,,,,,
HIST 175,3,1,,,,,,1,,,,,,,,,,,,,,,,
HIST 176,3,1,,,,,,1,,,,,,,,,,,,,,,,
HIST 177,3,1,,,,,1,,1,,,,,,,,,,,,,,,
HIST 186,3,,,,,1,,,,,,,,,,,,,1,,1,,,
HIST 188,3,1,,,,,1,1,1,,,,,,,,,,,,,,,
HIST 190,3,,,,,,,,1,,,,,,,,,,,,,,,
HIST 200,3,1,,,,1,,,,,,,,,,,,,,,,,,
HIST 201,3,1,,,,1,,,,,,,,,,,,,,,,,,
HIST 206,3,1,,,,,,,1,,,,,,,1,1,,,,,,,
HIST 210,3,1,,,,,,1,,,,,,,,,,,,,,,,
HIST 213,,,,,,,,,1,,,,,,,,,,,,,,,
HIST 214,3,,,,,,,1,1,,,,,,,,,,,,,,,
HIST 215,3,1,,,,,,1,1,,,,,,,,,,,1,1,,,
HIST 218,3,1,,,,,,,1,,,,,,,,1,,,,,,,
HIST 219,,,,,,1,,,1,,,,,,,,,,,,,,,
HIST 220,,,,,,,,,1,,,,,,,,,,,,,,,
HIST 225,3,,,,,,1,,,,,,,,,,,,,,,,,
HIST 226,3,,,,,,,,1,,,,,,,,,,,1,,,,
HIST 227,3,1,,,,,,,1,,,,,,1,,,,,1,,,,
HIST 228,3,1,,,,,,,1,,,,,,1,,,,,,,,,
HIST 229,3,,,,,,,,1,,,1,,,,,,1,,,,,,
HIST 231,3,,,,,1,,,1,,1,1,,,,,,,,,,,,
HIST 232,3,1,,,,1,,,1,,1,,,,,,,1,,1,,,,
HIST 233,3,1,,,,,1,,1,,,,,,,,,,,,,,,
HIST 234,3,1,,,,,1,1,1,,,,,,,,,,,,,,,
HIST 235,3,1,,,,,1,,1,,,,,,,,,,,,,,,
HIST 237,,,,,,,,,1,,,,,,,,,,,,,,,
