SPAN,Hours,SPAN>400,GLHT_MI_2,POST_MA_S_3,HISP_MA_C_1,HISP_MA_C_2,HISP_MA_C_3,DI
SPAN 101,5,,,,,,,
SPAN 102,5,,,,,,,
SPAN 105,5,,,,,,,
SPAN 152,3,,,,,,,1
SPAN 153,3,,,,,,,1
SPAN 156,3,,,,,,,1
SPAN 157,3,,,,,,,1
SPAN 158,3,,,,,,,1
SPAN 201,4,,,,,,,1
SPAN 202,4,,,,,,,1
SPAN 203,4,,,,,,,1
SPAN 204,3,,,,,,,1
SPAN 222,4,,,,,,,
SPAN 223,4,,,,,,,
SPAN 225,3,,,,,,,1
SPAN 226,3,,,,,,,1
SPAN 227,,,,,,,1,
SPAN 228,,,,,,,1,
SPAN 300,0,,,,,,,
SPAN 301,3,,,,,,,1
SPAN 302,3,,,,,,,1
SPAN 303,3,,,,,,,1
SPAN 304,3,,,,,,,1
SPAN 305,3,,,,,,,1
SPAN 306,3,,,,,,,1
SPAN 307,3,,1,1,,,,1
SPAN 308,3,,,1,,,,1
SPAN 309,1,,,,,,,
SPAN 310,1,,,,,,,
SPAN 311,3,,,,,,,
SPAN 312,3,,,,,,,
SPAN 313,3,,,,,,,
SPAN 314,3,,,,,,,
SPAN 315,3,,,,,,,1
SPAN 316,3,,,,,,,1
SPAN 325,3,,,,,,,
SPAN 340,3,,,,1,,,1
SPAN 341,3,,,,1,,,
SPAN 342,3,,,,1,,,
SPAN 343,3,,,,1,,,
SPAN 345,3,,,,1,,,
SPAN 346,3,,,,1,,,
SPAN 348,3,,,,1,,,
SPAN 365,3,,,,,1,,
SPAN 366,,,,,,1,,1
SPAN 370,3,,,,,1,,1
SPAN 371,3,,,,,1,,
SPAN 374,3,,,,,1,,
SPAN 376,3,,,,,1,,
SPAN 377,3,,,,,1,,
SPAN 378,3,,,,,1,,
SPAN 380,3,,,,,1,,
SPAN 383,3,,,,,1,,
SPAN 385,3,,,,,1,,1
SPAN 387,3,,,,,1,,
SPAN 388,3,,,,,1,,
SPAN 389,3,,,,,1,,
SPAN 390,3,,,,,1,,
SPAN 391,3,,,,,1,,
SPAN 392,3,,,,,1,,
SPAN 393,3,,,,,1,,1
SPAN 395,3,,,,,1,,
SPAN 396,3,,,,,1,,
SPAN 397,3,,,,,1,,
SPAN 398,3,,,,,1,,
SPAN 401,3,1,,,,,,
SPAN 402,3,1,,,,,,
SPAN 403,3,1,,,,,,
SPAN 405,3,1,,,,,,
SPAN 406,3,1,,,,,,
SPAN 408,3,1,,,,,,
SPAN 410,3,1,,,,,,
SPAN 412,3,1,,,,,,
SPAN 420,3,1,,,,,,1
SPAN 422,3,1,,,,,,
SPAN 424,3,1,,,,,,1
SPAN 428,3,1,,,,,,
SPAN 430,3,1,,,,,,
SPAN 435,3,1,,,,,,1
SPAN 436,3,1,,,,,,
SPAN 450,3,1,,,,,,
SPAN 452,3,1,,,,,,
SPAN 453,3,1,,,,,,
SPAN 454,3,1,,,,,,
SPAN 456,3,1,,,,,,
SPAN 460,3,1,,,,,,
SPAN 462,3,1,,,,,,
SPAN 465,3,1,,,,,,
SPAN 468,3,1,,,,,,
SPAN 470,3,1,,,,,,
SPAN 490,V,1,,,,,,
SPAN 495,3,1,,,,,,
