THEA,Hours,DI,VISD_MA_S_3_C,VISD_MA_S_3_C_1,VISD_MA_S_3_C_2
THEA 100,3,,,1,
THEA 101,3,,,1,
THEA 102,3,,,,
THEA 103,3,,,1,
THEA 207,3,,,,
THEA 270,3,,,,
THEA 300,3,1,,,1
THEA 301,3,,,,1
THEA 302,3,,,,
THEA 303,3,1,1,,
THEA 304,3,,,,
THEA 305,3,,,,
THEA 306,3,,,,
THEA 307,3,,,,
THEA 308,3,,,,
THEA 309,3,,,,
THEA 310,3,1,,,
THEA 312,3,,,,
THEA 320,3,,,,
THEA 322,3,,,,
THEA 323,3,,,,
THEA 324,3,,,,
THEA 329,V,,,,
THEA 331,V,1,1,,
THEA 332,3,,,,
THEA 396,V,,,,
THEA 431,3,,,,
THEA 432,V,,,,
THEA 435,V,,,,
,,,,,
