BIOC,Hours,BIOC>400,COGS_MA_4_C,BIOC_MA_C,BIOC_MA_L,PHYS_MA_S_3,CHEM_MA_C,CEVE_MA_C,CHBE_MA_B,BIOE_MA_C,CHBE_MA_2_C,CHBE_MA_5_C,NEUR_MI_C_1,NEUR_MI_S_2_C,BCB_MI_C,BIOC >300,EEB_MI_C,ESCI_MA_C_1,ENVI_MA_S_3,EBIO_MA_C,ENVI_MA_S_4,EEB_MA_C,DIII,GLHT_MI_1
BIOC 111,1,,,,,,,,,,,,,,,,,,,,,,,
BIOC 115,1,,,,,,,,,,,,,,,,,,,,,,1,
BIOC 122,3,,,,,,,,,,,,,,,,,,,,,,1,
BIOC 201,3,,,1,,1,,1,1,,1,1,,,1,,1,1,,1,,1,1,
BIOC 205,2,,,,,,,,,,,,,,,,,,,,,,,
BIOC 211,2,,,1,,1,,,,,,,,,1,,,1,,,,,,
BIOC 215,,,,,,,,,,,,,,,,,,,,,,,,
BIOC 216,1,,,,,,,,,,,,,,,,,,,,,,,
BIOC 300,3,,,,,,,,,,,,,,,1,,,,,,,,
BIOC 301,3,,,1,,1,1,,,,1,,,,1,1,,,,,,,,
BIOC 302,3,,,1,,,,,,,,,,,,1,,,,,,,,
BIOC 310,,,,,,,,,,,,,,,,1,,,,,,,,
BIOC 311,2,,,1,,,,,,,,,,,,1,,,,,,,,
BIOC 313,1,,,,1,,,,,,,,,,,1,,,,,,,,
BIOC 316,,,,,,,,,,,,,,,,1,,,1,,,,,
BIOC 318,1,,,,1,,,,,,,,,,,1,,,,,,,,
BIOC 320,1,,,,1,,,,,,,,,,,1,,,,,,,,
BIOC 321,,,,,,,,,,,,,,,,1,,,1,,,,,
BIOC 323,,,,,,,,,,,,,,,,1,,,1,,,,,
BIOC 331,3,,,,,,,,,,,,,,,1,,,,,,,1,
BIOC 332,3,,,,,,,,,,,,,,,1,,,,,,,,
BIOC 334,3,,,,,,,,,,,,,,,1,,,1,,,,1,
BIOC 336,,,,,,,,,,,,,,,,1,,,1,,,,,
BIOC 338,,,,,,,,,,,,,,,,1,,,,,1,,,
BIOC 341,3,,,1,,,,,,1,,,,,1,1,,,,,,,1,
BIOC 344,3,,,1,,,,,,,,,,,,1,,,,,,,,
BIOC 352,3,,,1,,,,,,,,,,,,1,,,,,,,,
BIOC 361,3,,,,,,,,,,,,,,,1,,,,,,,,
BIOC 362,,,,,,,,,,,,,,,,1,,,,,,,,
BIOC 363,3,,,,,,,,,,,,,,,1,,,,,,,,
BIOC 364,1,,,,,,,,,,,,,,,1,,,,,,,,
BIOC 371,1,,,,,,,,,,,,,,,1,,,,,,,,
BIOC 372,3,,,,,,,,,,,,,,,1,,,,,,,,1
BIOC 380,3,,,,,,,,,,,,1,,,1,,,,,,,,
BIOC 385,3,,1,,,,,,,,,,,1,,1,,,,,,,,
BIOC 390,3,,,,,,,,,,,,,,,1,,,,,,,,
BIOC 393,1,,,,,,,,,,,,,,,1,,,,,,,,
BIOC 401,5,1,,,,,,,,,,,,,,1,,,,,,,,
BIOC 402,5,1,,,,,,,,,,,,,,1,,,,,,,,
BIOC 412,1,1,,,,,,,,,,,,,,1,,,,,,,,
BIOC 413,1,1,,,1,,,,,,,,,,,1,,,,,,,,
BIOC 415,1,1,,,1,,,,,,,,,,,1,,,,,,,,
BIOC 424,3,1,,,,,,,,,,,,,,1,,,,,,,,
BIOC 425,3,1,,,,,,,,,,,,,,1,,,,,,,,
BIOC 443,3,1,,,,,,,,,,,,,,1,,,,,,,,
BIOC 445,3,1,,,,,,,,,,,,,,1,,,,,,,,
BIOC 447,3,1,,,,,,,,,,,,,,1,,,,,,,,
BIOC 450,3,1,,,,,,,,,,,,,,1,,,,,,,,1
BIOC 455,3,1,,,,,,,,,,,,,,1,,,,,,,,
BIOC 460,3,1,,,,,,,,,,,,,,1,,,,,,,,1
BIOC 464,3,1,,,,,,,,,,,,,,1,,,,,,,,
BIOC 481,3,1,,,,,,,,,,,,,,1,,,,,,,,
BIOC 482,3,1,,,,,,,,,,,,,,1,,,,,,,,
BIOC 530,,1,,,1,,,,,,,,,,,,,,,,,,,
BIOC 535,,1,,,1,,,,,,,,,,,,,,,,,,,
BIOC 540,3,1,,,,,,,,,,,,,,1,,,,,,,,1
BIOC 598,,1,,,,,,,,,,,,,,1,,,,,,,,1
