CHEM,Hours,ASTR_MA_C,ASTR_MA_BA_C_1,CHEM>300,CHEM_B_1,CHEM_B_2,CHEM_B_3,CHEM_B_4,CHEM_MA_S_1,CHEM_MA_S_2,CHEM_MA_S_3,CHEM_MA_S_4,CHEM_MA_S_4_1,CHEM_MA_C,CHEM_MA_1,CHEM_MA_2,CHEP_MA_C,CHEP_MA_C_1,CHEP_MA_C_2,CHEP_MA_C_4,ENVI_MA_S_3,BIOE_MA_C,PHYS_MA_S_3,EEB_MA_C,CEBE_MA_C,CHBE_MA_C,CHBE_MA_5_C,CHBE_MA_6,BCB_MI_C,DIII,GLHT_MI_1 
CHEM 110,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM 121,3,1,,,1,,,,,,,,,,,,,,,,,1,,1,1,1,,,1,1,
CHEM 122,3,,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,,1,1,
CHEM 123,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,1,
CHEM 124,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,
CHEM 151,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
CHEM 152,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM 153,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
CHEM 154,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
CHEM 176,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
CHEM 210,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM 211,3,,,,,,,,,,,,,1,,,1,,,,1,1,1,,,1,,,,1,
CHEM 212,3,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,1,,1,
CHEM 215,2,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,
CHEM 217,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
CHEM 220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM 231,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,
CHEM 232,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,
CHEM 310,3,,1,1,,,,,,,,,,1,,,1,,,,,,,,,,1,1,,,
CHEM 320,3,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
CHEM 330,3,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,
CHEM 351,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,
CHEM 352,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,
CHEM 353,1,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
CHEM 360,3,,,1,,,,,,,,,,1,,,1,,,,,,,,,,1,1,,,
CHEM 372,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CHEM 373,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CHEM 375,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CHEM 378,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CHEM 381,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CHEM 382,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CHEM 383,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CHEM 384,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CHEM 395,1,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
CHEM 398,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM 399,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM 401,3,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
CHEM 411,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM 415,3,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
CHEM 420,3,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,
CHEM 425,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM 430,3,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
CHEM 442,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM 443,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CHEM 445,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM 450,3,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
CHEM 458,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM 475,3,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
CHEM 491,V,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM 492,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM 493,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM 495,3,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
CHEM 498,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM 531,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
CHEM 533,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CHEM 535,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
