EBIO,Hours,CEVE_MA_C,EEB_MI_C,POST_MA_S_1,EEB_MA_C,EEB_MA_C_1,ESCI_MA_C_1,EBIO > 300,DIII
EBIO 113,,,,,,,,,1
EBIO 114,1,,,,,,,,
EBIO 116,1,,,,,,,,1
EBIO 124,3,,,,,,,,1
EBIO 179,3,,,,,,,,
EBIO 202,3,,1,,1,,1,,1
EBIO 204,1,,,,,,,,
EBIO 213,2,,1,,,,1,,
EBIO 215,,,,,,,,,
EBIO 216,,,,,,,,,
EBIO 237,1,,,,,,,,
EBIO 270,3,,,,,,,,
EBIO 306,,,,,,,,1,
EBIO 316,1,,,,,,,1,
EBIO 317,1,,,,,,,1,
EBIO 321,1,,,,,,,1,1
EBIO 323,3,,,1,,,,1,1
EBIO 325,3,1,,1,,,,1,1
EBIO 326,3,,,,,,,1,1
EBIO 327,1,,,,,,,1,
EBIO 328,3,,,,,,,1,1
EBIO 329,3,,,,,,,1,1
EBIO 330,1,,,,,,,1,
EBIO 331,3,,,,,,,1,1
EBIO 332,1,,,,,,,1,
EBIO 333,3,,,,,,,1,
EBIO 334,,,,,1,,,1,1
EBIO 335,1,,,,,,,1,
EBIO 336,3,,,,,,,1,1
EBIO 338,3,,,,,1,,1,
EBIO 340,3,,,,,,,1,1
EBIO 372,3,,,,,,,1,
EBIO 391,3,,,,,,,1,
EBIO 393,1,,,,,,,1,
EBIO 403,5,,,,,,,1,
EBIO 404,5,,,,,,,1,
EBIO 412,2,,,,1,,,1,
EBIO 432,3,,,,,,,1,
EBIO 433,3,,,,,,,1,
