ENST,Hours,DI,DII,DIII,POST_MA_S_1,GLHT_MI_1,ENVI_MA_S_1,ENVI_MA_S_2,ENVI_MA_S_3,ENVI_MA_S_4
ENST 101,3,,,1,,,,,,
ENST 102,3,,,,,,,,,
ENST 113,1,,,1,,,,,,
ENST 114,1,,,1,,,,,,
ENST 179,3,,,,,,,,,
ENST 201,3,,,,,,,,,
ENST 204,1,,,,,,,,,
ENST 281,3,,,,,,,,,1
ENST 302,3,,1,,1,,1,,,
ENST 307,3,,,,,,,,,1
ENST 312,3,,1,,,,1,,,
ENST 313,,,,,,,,1,,
ENST 314,3,,,,,1,,,,
ENST 315,3,,,,,,,,,
ENST 316,3,,,,,,,,,
ENST 323,,,,1,,,,,1,
ENST 331,3,,,,,,,,,
ENST 332,3,,,,,,1,,,
ENST 340,3,,,1,,,,,1,
ENST 350,V,,,,,,,,,
ENST 367,,,1,,,,1,,,
ENST 368,3,1,,,,,,1,,
ENST 400,V,,,,,,,,,
ENST 406,3,,,,,,1,,,
ENST 415,3,,,,,,,,,
ENST 425,3,,,,,,,,,
ENST 437,3,,1,,,,,,,
ENST 441,3,,,,,,,,,
ENST 480,V,,1,,,,1,,,
,,,,,,,,,,
