MATH,Hours,MATH_MA_C_S,MATH_MA_C_D,PHYS_MA_1,PHYS_MA_2,PHYS_MA_BA_C_1,MATH_Z_B_1_1,MATH_Z_B_1_2,MATH_Z_B_3_1,MATH_Z_B_3_F_1,MATH_Z_B_3_F_2,ELEC_MA_C_1,MATH_B_2_OP_1,l;l;,MATH_B_2_OP_3,MATH_MA_H,ESCI_MA_C_1,COMP_MA_C_2,STAT_MA_C_2,CEVE_MA_C,BCB_MI_C,MATH_MI_C_1,MATH_MI_C_2,MATH_MI_C_3,MATH >200,MATH>300,DIII
MATH 101,3,,,,,,1,,,,,,,,,,,,,1,1,,,,,,1
MATH 102,3,,,,,,,,,,,,,,,,,,,1,1,,,,,,1
MATH 111,3,,,,,,,1,,,,,,,,,,,,,,,,,,,1
MATH 112,3,,,,,,,1,,,,,,,,,,,,,,,,,,,1
MATH 211,3,,,,,,,,1,1,,,1,,,,1,,,1,,,,,1,,1
MATH 212,3,,,,,,,,,1,,,,1,,,,,,1,,,,,1,,1
MATH 221,3,,,,,,,,,,1,,,,1,,,,,,,,,1,1,,1
MATH 222,3,,,,,,,,,,1,,,,1,,,,,,,,,,1,,1
MATH 300,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 302,3,1,1,,,1,,,,,,,,,,1,,,,,,1,,,1,1,1
MATH 304,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,1
MATH 310,2,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 321,3,1,1,,,1,,,,,,,,,,1,,,,,,1,,,1,1,1
MATH 322,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 354,3,1,1,,,1,,,,,,,,,,1,,1,,,,,,1,1,1,1
MATH 355,3,1,1,,,1,,,1,,,1,,,,1,,1,1,,,,,1,1,1,1
MATH 356,3,1,1,,,1,,,,,,,,,,1,,,,,,,1,,1,1,
MATH 365,3,1,1,,,1,,,,,,,,,,1,,,,,,,1,,1,1,1
MATH 366,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,1
MATH 368,3,1,1,,,1,,,,,,,,,,1,,,,,,,1,,1,1,1
MATH 370,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,1
MATH 371,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,1
MATH 373,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,1
MATH 374,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,1
MATH 381,3,1,1,1,,1,,,,,,,,,,1,,,,,,,,,1,1,1
MATH 382,3,1,1,,1,1,,,,,,,,,,1,,,,,,1,,,1,1,1
MATH 390,1,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,1
MATH 401,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,1
MATH 402,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 410,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 423,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 424,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 425,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 426,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 427,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,1
MATH 428,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 435,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 443,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 444,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 445,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 463,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 464,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 465,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 466,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 468,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 471,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 472,3,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 490,,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
MATH 498,,1,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,
