PHYS,Hours,DIII,PHYS_B_1,PHYS_B_2,PHYS_MA_BA_C,ASTR_MA_BS_C,ASTR_MA_BA_C,ASTR_MA_BA_C_1,ASTR_MA_BA_C_2,ASTR_MA_BA_C_3,ASTR_MA_C,ASTR_MA_1,ELEC_MA_S_2,PHYS_MA_S_4,PHYS_MA_S_1,PHYS_MA_S_3,PHYS_MA_S_2,PHYS_MA_S_2_2,CHBE_MA_1_B,CHBE_MA_C,CHEP_MA_C,CHEP_MA_C_1,CHEMP_MA_C_2,CHEP_MA_C_4,ESCI_MA_C_1,CHBE_MA_5_C,BCB_MI_C
PHYS 101,3,1,1,,,,,,,,,,,,,,,,,1,,,,,1,,1
PHYS 102,4,1,,1,,,,,,,,,,,,,,,,1,,,,,1,,1
PHYS 111,3,1,1,,,,,,,,,,,,,,,,,1,,,,,,,1
PHYS 112,4,1,,1,,,,,,,,,,,,,,,,1,,,,,,,1
PHYS 125,4,1,,,,,,,,,,,,,,,,,,,,,,,1,,1
PHYS 126,4,1,,,,,,,,,,,,,,,,,,,,,,,1,,1
PHYS 141,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 142,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 143,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 144,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 201,3,,,,1,1,,,,,,,,,,,,,1,,1,,,,,1,
PHYS 202,3,,,,1,1,1,,,,,,,,,,,,1,,1,,,,,1,
PHYS 231,1,,,,1,1,,,,,,,,,,,,,,,1,,,,,,
PHYS 301,4,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,
PHYS 302,4,,,,1,1,1,,,,,,1,1,1,1,1,,,,1,,,,,,
PHYS 311,3,,,,1,1,,,,,,,1,,,,,,,,1,,,,,,
PHYS 312,3,,,,,,,,,,,1,,1,1,1,1,,,,,1,,,,,
PHYS 331,2,,,,1,,,,,1,,,,,1,,,1,,,,,,1,,,
PHYS 332,2,,,,,,,,,,,,,,1,,,1,,,,,,1,,,
PHYS 355,3,,,,,,,,,,,,,,,1,,,,,,,,,,,
PHYS 401,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 401,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 411,3,,,,,,,,,,,,,,1,,,,,,,,,,,,
PHYS 412,3,,,,,,,,,,,,,,1,,1,,,,,,,,,,
PHYS 416,3,,,,,,,,,,,,,1,,,,,,,,,,,,,
PHYS 425,3,,,,1,1,,1,,,,,,,,,,,,,,,1,,,,
PHYS 461,V,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 462,V,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 465,V,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 480,3,,,,,,,,1,,,1,,,,,,,,,,,,,,,
PHYS 491,2,,,,1,1,,,,,,,,,,,,,,,,,,1,,,
PHYS 492,2,,,,1,1,,,,,,,,,,,,,,,,,,1,,,
PHYS 493,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,
PHYS 494,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,
PHYS 510,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 515,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 516,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 517,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 519,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 521,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 522,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 526,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 532,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 533,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 534,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 535,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 537,4,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 538,4,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 539,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 541,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 542,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 543,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 552,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 561,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 563,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 564,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 566,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 567,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 568,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 569,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 571,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 572,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 600,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 605,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 610,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 622,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 643,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 663,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 664,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 700,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 710,1,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 777,0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS 800,V,,,,,,,,,,,,,,,,,,,,,,,,,,
