ANTH,Hours,COGS_MA_E,ANTH_MA_C,ENVI_MA_S_1,ENVI_MA_S_3,POST_MA_S_1,POST_MA_S_2,POST_MA_S_3,POST_MA_S_5,POST_MA_S_7,ANTH_MA_S_1,ANTH_MA_S_2,ANTH_MA_S_3,ASIA_MA_C_2,ANTH_MA_1,ANTH_MA_2_1,ANTH_MA_2_2,ANTH_MI_C,HISP_MA_C_3,ANTH >300,DI,DII,GLHT_MI_1,PJHC_MI_C_1,PJHC_MI_C_2,AS_MI_C_1,AS_MI_C_2
ANTH 200,3,,1,,,,,,,,,,,,,,,1,,,,1,,,,,
ANTH 201,3,,1,,,,,,,,,,,,,,,1,,,,1,,,,,
ANTH 202,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH 203,3,,1,,,,,,,,,,,,,,,1,,,,1,,,,,
ANTH 205,3,,1,,,,,,,,,,,,,,,1,,,,1,,,,,
ANTH 209,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ANTH 210,3,,,,,,,,,,1,1,,,,,,,,,,,,,,,
ANTH 212,3,,,,,,,,,,,1,,1,,,,,,,,1,,,,,
ANTH 235,,,,,,,,,,,,,,,,,,,,,,1,,,,,
ANTH 280,3,,,,,,,,,,,,,1,,,,,,,,1,,,,,
ANTH 290,3,,,,,,,,,,,,,,,,,,,,,1,,1,1,,
ANTH 300,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,
ANTH 301,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,
ANTH 302,3,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
ANTH 304,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ANTH 305,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,
ANTH 307,3,,,,,,,,,,,,,1,,,,,,1,,,,,,,
ANTH 308,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,
ANTH 309,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,
ANTH 310,3,,,,,,,,,,,,,1,,,,,,1,,1,,,,,
ANTH 311,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,
ANTH 312,3,,,,,,,,,,1,,,,,,,,,1,,1,1,,,1,1
ANTH 313,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,
ANTH 316,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,
ANTH 319,3,,,,,,,,,,,,1,,,,,,,1,,1,,,,,
ANTH 322,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,
ANTH 323,3,,,,,,,,,,,,,,,,,,,1,,,,,,,
ANTH 324,3,,,,,,,,,,,,,,,,,,,1,,,,,,,
ANTH 325,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,
ANTH 326,3,,,,,,,,1,,,,,,,,,,,1,,1,,,,,
ANTH 327,3,,,,,,,,,,,,,1,,,,,,1,,1,,,,,
ANTH 329,3,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
ANTH 331,3,,,,,,,,,,,,,,,,,,,1,,,,,,,
ANTH 332,3,,,1,,,,,,,,,1,,,,,,,1,,,,,,,
ANTH 333,3,,,,,,,,,,,1,,,,,,,,1,,,,,,,
ANTH 334,3,,,,,,,,,,,,,,,,,,,1,,,,,,,
ANTH 335,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,
ANTH 336,3,,,,,,,,,,,,,,,,,,,1,,,,,,,
ANTH 338,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,
ANTH 340,3,,,,,,,,,,,,,,,,,,,1,,,,,,,
ANTH 343,3,,,,,,,,,,,,,,,,,,,1,,1,,1,,,
ANTH 344,3,,,,,,1,,,1,,,,,,,,,,1,,1,,,,,
ANTH 345,3,,,,,,,,,,1,,1,,,,,,,1,,1,,,,,
ANTH 347,3,,,,,,,,,,,,1,,,,,,,1,,1,,,,,
ANTH 348,3,,,,,,,,,,,,,,,,,,,1,,,,,,,
ANTH 349,3,,,,,,,,,,,,1,,,,,,,1,,,,,,,
ANTH 351,3,,,,,,,,,,,1,,,,,,,,1,,1,,,,,
ANTH 353,3,,,,,,,,,,,,,1,,,,,,1,,1,,,,,
ANTH 355,3,,,,,,,,,,1,,,,,,,,,1,,,,1,,,
ANTH 358,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,
ANTH 361,3,,,,,,,,,,,1,1,,,,,,1,1,,,,,,,
ANTH 362,,,,,,,,,,,1,,,,,,,,,,,1,,,,,
ANTH 363,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,
ANTH 364,3,,,,,,,,,,,,,,,,,,,1,,,,,,,1
ANTH 366,3,,,,,,,,,,,,1,,,,,,,1,,1,,,,,
ANTH 370,3,,,,,,,,,,,,,,,,,,,1,,,,,,,1
ANTH 371,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,
ANTH 372,3,,,,,,,,,,,1,1,,,,,,,1,,1,1,,,,
