ECON,Hours,FC_MI_C_1_E_1,FC_MI_C_1_C,FC_MI_C_1_E_2,FC_MI_C_2_E_1,DII,DIII,HISP_MA_C_3,ENVI_MA_S_1,ENVI_MA_S_4,SMGT_MA_C_3,MANA_MA_C_1,MANA_MA_C_2,MANA_MA_C_3,POST_MA_C_1,POST_MA_S_1,POST_MA_S_2,POST_MA_S_4,POST_MA_S_5,POST_MA_S_6,POST_MA_S_7,ECON_MA_1_C,ECON_MA_1_C_1,ECON_MA_2_C_1,ECON_MA_2_C,ECON_MA_2_E,ECON_MA_1_E,POST_MA_S_8_C,MANA_MA_C_4,MANA_MA_S_1,POST_MA_C,EWS_MI_C_1,GLHT_MI_2,PJHC_MI_C_1,PJHC_MI_C_3
ECON 101,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON 103,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON 111,AP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
ECON 112,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON 201,3,1,,,,1,,,,,1,1,,,1,,,,,,,1,,1,,,,,,,,,,,
ECON 205,3,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
ECON 211,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
ECON 239,3,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,
ECON 243,3,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
ECON 239,3,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,
ECON 243,3,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,
ECON 245,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,
ECON 252,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
ECON 255,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,
ECON 270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON 284,3,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
ECON 301,3,1,,,,1,,,,,1,,,,,,,,,,,1,,1,,,,,,1,,,,,
ECON 303,3,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ECON 307,3,,1,,,,1,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,
ECON 309,3,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,
ECON 348,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
ECON 355,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,
ECON 370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
ECON 382,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
ECON 399,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
ECON 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
ECON 401,3,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
ECON 403,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON 404,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON 405,3,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
ECON 409,3,,,1,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,,,,,,
ECON 410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON 415,3,,,,,1,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,
ECON 420,3,,,,,1,,,,,,,,,,,,1,,1,,,,,,1,1,,,,,,,,
ECON 421,3,,,,,,,,,,,,,,,,,1,,1,,,,,,1,1,,,1,,,,,
ECON 435,3,,,,,1,,,,,,,,,,,,,,1,,,,,,1,1,,,1,,,,,
ECON 436,3,,,,,1,,,,,,,,,,,1,,,1,,,,,,1,1,,,,,,,,
ECON 437,3,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,
ECON 438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
ECON 439,3,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,1,,,,,
ECON 443,3,,,,1,1,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,
ECON 445,3,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,
ECON 447,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,
ECON 448,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
ECON 450,3,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
ECON 451,3,,,,,1,,1,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,
ECON 452,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,
ECON 455,3,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,
ECON 460,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
ECON 461,3,,,,,1,,,,,,,,,,,1,,,,1,,,,,1,1,,,,,,,,
ECON 479,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
ECON 480,3,,,,,1,,,1,,,,,,,1,1,,,,1,,,,,1,1,,,,,,1,,1
ECON 481,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
ECON 482,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
ECON 483,3,,,,,1,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,
ECON 484,3,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
ECON 485,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
ECON 486,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
ECON 495,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ECON 501,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
ECON 502,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
ECON 521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
