POST,Hours,GLHT_MI_2,POST_MA_C,POST_MA_S_2,POST_MA_S_3,POST_MA_S_8_C,POST_MA_S_8_S_1,ASIA_MA_C_2,DII
POST 200,3,,1,,,,,,
POST 201,3,,,,,,,,
POST 300,3,,1,,,,,,
POST 338,3,,1,,,,,,1
POST 350,3,,1,,,,,,1
POST 353,3,,,,,,,,
POST 353,3,,,,,,,,
POST 354,3,,,,,,,,
POST 355,3,,,,,,,,
POST 356,3,,,,,,,,
POST 357,3,,,,,,,,
POST 358,3,,,,,,,,
POST 359,3,,,,,,,,
POST 400,V,,,,,,,,
POST 401,3,,,,,1,,,
POST 411,3,,,,,,,,
POST 420,3,,,,,,,,
POST 430,3,1,,1,1,,,,
POST 455,3,,,,,,1,1,
POST 499,V,,,,,,,,
,,,,,,,,,
