PSYC,Hours,DII,DIII,PSYC_MA_C,PSYC_MA_S_1,PSYC_MA_S_2,NEUR_MI_C_1,NEUR_MI_S_1_C,POST_MA_S_6,MANA_MA_C,MANA_MA_C_3,ENVI_MA_S_4,GLHT_MI_C_1,COGS_MA_C_2,COGS_MA_C_4,COGS_MA_3_C,COGS_MA_4_C,GLHT_MI_2
PSYC 101,3,1,,1,,,,,,1,,,,,,,,
PSYC 102,1,1,,,,,,,,,,,,,,,,
PSYC 202,3,1,,1,,,,,,,,,,,,,,
PSYC 203,3,1,,1,,,,,,,,,,1,,,,
PSYC 231,3,1,,,,,,,1,1,,,,,,,,
PSYC 260,1,,,,,,,,,,,,,,,,,
PSYC 308,3,1,,,1,,,,,,,,,,1,1,,
PSYC 309,3,1,,,1,,,,,,,,,,1,1,,
PSYC 315,3,1,,,,,,,,,,,,,,,,
PSYC 321,3,1,,,,1,,,,,,,,,,1,,
PSYC 325,,,,,,,,,,,,,,,,1,,
PSYC 329,3,1,,,,1,,,,,,,,,,,,
PSYC 330,3,1,,,,,,,,,,,,,,,,
PSYC 331,,1,,,,1,,,,,,,,,,,,
PSYC 332,3,1,,,,1,,,,,,,,,,,,
PSYC 339,3,,,1,,,,,,,1,1,,,,,,
PSYC 340,4,,,1,,,,,,,,,,,,1,,
PSYC 341,3,,,,,,,,,,,,,,,,,
PSYC 343,0,,,,,,,,,,,,,,,,,
PSYC 345,3,1,,,,1,,,,,,,,,,,,1
PSYC 351,3,1,,,1,,,,,,,,,,1,1,,
PSYC 352,,,,,,1,,,,,,,,,,,,
PSYC 353,,1,,,,,,,,,,,,,,,,
PSYC 360,,,,,1,,,,,,,,,,1,1,,
PSYC 362,3,1,,,1,,,1,,,,,,,1,1,1,
PSYC 370,3,1,,,,,,,,,,,1,,,,,
PSYC 375,3,1,,,1,,,,,,,,,,,1,,
PSYC 380,,,,,,,1,,,,,,,,,,,
PSYC 385,,,,,,,,,,,,,,,,,,
PSYC 409,3,,,,,,,,,,,,,,,1,,1
PSYC 411,3,,,,,,,,,,,,,,,1,,
PSYC 420,3,1,,,,,,,,,,,,,,,,
PSYC 430,3,,,,,,,,,,,,,,1,1,,
PSYC 431,3,,,,,,,,,,,,,,,,,
PSYC 432,3,,,,,,,,,,,,,,1,1,1,
PSYC 435,3,,,,,,,,,,,,,,,,,
PSYC 436,3,,,,,,,,,,,,,,,,,
PSYC 438,3,,,,,,,,,,,,,,,,,
PSYC 439,3,,,,,,,,,,,,,,,,,
PSYC 440,3,,,,,,,,,,,,,,,,,
PSYC 441,3,,,,,,,,,,,,,,,1,,
PSYC 445,3,,,,,,,,,,,,,,,,,1
PSYC 455,3,,,,,,,,,,,,,,,,,
PSYC 461,3,,,,1,,,,,,,,,,,,,
PSYC 465,3,,,,,,,,,,,,,,,1,,
PSYC 470,3,,,,,,,,,,,,,,,,,
PSYC 471,,,,,,,,,,,,,,,,1,,
PSYC 475,3,,,,,,,,,,,,,,,,,
PSYC 480,3,,,,,,,,,,,,,,,,,
PSYC 485,,,,,,,,,,,,,,,,,,
PSYC 488,,,,,,,,,,,,,,,,,,
PSYC 495,3,,,,,,,,,,,,,,,,,
PSYC 499,,,,,,,,,,,,,,,,,,
