SOCI,Hours,DI,DII,DIII,ASIA_MA_C_2,ENVI_MA_S_1,POST_MA_S_1,POST_MA_S_2,POST_MA_S_3,POST_MA_S_5,POST_MA_S_7,MANA_MA_C_3,SOCI>400,SOCI_MA_C,SOCI_MA_C_1,SOCI_MA_C_2,SOCI_MI_C,SOCI_MI_C_1,GLHT_MI_ C_1,GLTH_MI_ 2,PJHC_MI_C_1,PJHC_MI_C_2,PJHC_MI_C_4_1,PJHC_MI_C_3,
SOCI 101,3,,1,,,,,,,,,,,1,,,1,,,,,,,,
SOCI 280,3,1,,,,,,,,,,,,,,,,,,1,,,,,
SOCI 297,3,,,,,,,,,,,,,,,,,,,,,,,,
SOCI 298,,,,,,,,,,,,,,1,,,,,,,,,,,
SOCI 300,3,,,,,,,,,,,,,,,,,,,,,1,,,
SOCI 301,,,1,,,,,,,1,1,,,,,,,,,,,,,,
SOCI 302,3,,,,,,,,,,,,,,,,,,,,,1,,,
SOCI 303,3,,,,,,,,,,,,,,,,,,,,,,,1,
SOCI 304,3,,1,1,,1,,,,,,,,,,,,,,,,,,,
SOCI 305,3,,,,,,,,,,,,,,,,,,,,,,,,
SOCI 306,3,,1,,,,,,,,,,,,,,,,,,,,,1,
SOCI 307,3,,,,,,,,,,,,,,,,,,,,,,,,
SOCI 308,3,,1,,,,,1,,,1,,,,,,,,,,,,,,
SOCI 309,3,,1,,,,,,,1,1,,,,,,,,,,,1,,,
SOCI 310,,,1,,,,,,,,1,,,,,,,,,,,,,,
SOCI 311,3,,,,,,,,,,,,,,,,,,,,,,,,
SOCI 313,3,,1,,,1,,,,,1,,,,,,,,,,,,,,
SOCI 314,3,,1,,,,,,,,,,,,,,,,,,,,,,
SOCI 315,3,,,,,,,,,,,,,,,,,,,,,,,,
SOCI 316,3,,,,,,,,,,,,,,,,,,,,,,,,
SOCI 319,3,,,,,,,,,,,,,,,,,,,,,,,1,
SOCI 321,3,,1,,,,,,,1,,,,,,,,,,,,,,,
SOCI 325,3,,,,,,,,,,,,,,,,,,,,,,,,
SOCI 327,3,,,,,,,,,,,,,,,,,,,,,,,,
SOCI 328,,,,,,,,,,,,,,,,,,,,,,,,,
SOCI 329,3,,,,,,,,,,,,,,,,,,,,,1,,,
SOCI 330,3,,,,,,,,,,,,,,,,,,,,,,,,
SOCI 331,3,,,,,,,,,,,,,,,,,,,,,,,,
SOCI 332,,,,,1,,,,,,,,,,,,,,,,,,,,
SOCI 333,,,1,,,,,,,,,,,,,,,,,,,,,,
SOCI 334,3,,1,,,,,,1,,,,,,,,,,,,,,,,
SOCI 337,3,,,,,,,,,,,,,,,,,,,,,,,,
SOCI 338,3,,,,,,,,,,,,,,,,,,,,,,,1,
SOCI 339,3,,1,,,,,,,,,,,,,,,,,,,,,,
SOCI 341,3,,,,,,,,,,,,,,,,,,,,,,,,
SOCI 342,3,,,,,,,,,,,,,,,,,,,,1,,,,
SOCI 345,3,,1,,,,,,1,,,,,,,,,,1,1,,,,1,
SOCI 346,3,,,,,,,,,,,,,,,,,,,,,1,,,
SOCI 347,3,,,,,,,,,,,,,,,,,,,,,,,,
SOCI 349,3,,,,,,,,,,,,,,,,,,,,,,,,
SOCI 351,3,,,,,,,,,,,,,,,,,1,,,,,,,
SOCI 354,3,,,,,,,,,,,,,,,,,,,,,,,,
SOCI 355,3,,,,,,,,,,,,,,,,,,,,,,,,
SOCI 360,3,,1,,,,,,,,,,,,,,,,,,,,,,
SOCI 367,3,,1,,,1,1,,,,,,,,,,,,,,,,,,
SOCI 380,3,,1,,,,,,,,,,,,,1,,1,,,,,,,
SOCI 381,3,,,,,,,,,,,,,,1,,,1,1,,,,,,
SOCI 382,3,,,,,,,,,,,,,,,,,,,,,,,,
SOCI 383,3,,1,,,,,,,,,,,,,1,,,,,,,,,
SOCI 384,3,,,,,,,,,,,,,,1,,,1,,,,,,,
SOCI 386,3,,1,,,,,,,,,,,,,,,,,,,1,,,
SOCI 398,,,,,,,,,,,,1,,,,,,,,,,,,,
SOCI 402,3,,,,,,,,,,,,1,,,,,,,,,,,,
SOCI 403,,,,,,,,,,,,,1,,,,,,,,,,,,
SOCI 405,,,,,,,,,,,,,1,,,,,,,,,,,,
SOCI 406,3,,,,,,,,,,,,1,,,,,,,,,,,,
SOCI 408,3,,,,,,,,,,,,1,,,,,,,,,,,,
SOCI 409,3,,,,,,,,,,,,1,,,,,,,,,,,,
SOCI 410,3,,,,,,,,,,,,1,,,,,,,,,,,,
SOCI 415,3,,,,,,,,,,,,1,,,,,,,,,,,,
SOCI 422,3,,,,,,,,,,,,1,,,,,,,,,,,,
SOCI 423,3,,,,,,,,,,,,1,,,,,,,,,,,,
SOCI 424,3,,,,,,,,,,,,1,,,,,,,,,,,,
SOCI 425,3,,,,,,,,,,,,1,,,,,,,,,,,,
SOCI 426,3,,,,,,,,,,,,1,,,,,1,,,,,,,
SOCI 440,3,,,,,,,,,,,,1,,,,,,,,,,,,
SOCI 451,3,,,,,,,1,1,,,,1,,,,,,,,1,,,,
SOCI 452,3,,,,,,,,,,,,1,,,,,,,,,,,,
SOCI 465,3,,,,,,,,,,,,1,,,,,,,,,,,,
SOCI 469,1,,,,,,,,,,,,1,,,,,,,,,,,,
SOCI 470,4,,,,,,,,,,,,1,,,,,,,,,,1,,
SOCI 485,3,,,,,,,,,,,,1,,,,,,,,,1,,,
SOCI 492,3,,,,,,,,,,,,1,,,,,,,,,,,,
SOCI 493,3,,,,,,,,,,,,1,,,,,,,,,,,,
