SWGS,Hours,DI,DII,GLHT_MI_2,PJHC_MI_C,PJHC_MI_C_4_1,ASIA_MA_C_2,PJHC_MI_C_1,PJHC_MI_C_2,PJHC_MI_C_3,SWGS_MA_C,SWGS_MA_C_1,SWGS_MAH_C,SWGS_MA_C_2,SWGS_MA_C_3,SWGS_MA_C_4,SWGS_MA_C_5
SWGS 101,3,1,,,,,,,,1,,1,,,,,
SWGS 105,3,1,,,,,,,,,,,,,,,1
SWGS 130,3,1,,,,,,,,,,,,,,,1
SWGS 201,3,1,,,,,,,,1,,1,,,,,
SWGS 205,3,1,,,,,,,,,,,,,,,1
SWGS 225,,1,,,,,,,,,,,,,,,1
SWGS 234,3,1,,,,,,,,,,,,,,,
SWGS 235,3,1,,,,,,,,,,,,,,,
SWGS 240,3,,,,,,1,,,,,,,,1,,
SWGS 250,3,,,,,,1,,,,,,,,1,,
SWGS 273,4,1,,,,,,,,,,,,,,,1
SWGS 283,,,,,,,,,,,,,,,1,,
SWGS 300,,,,,,,,,,,,,,,,,1
SWGS 301,3,1,,,,,,,,,,,,,,,
SWGS 302,3,,,,,,1,1,,,,,,,,,
SWGS 305,3,1,,,,,,,,,,,,,,,
SWGS 306,3,,,,,,,,,,,,,,,,
SWGS 307,,,,,,,,,,,,,,,,,1
SWGS 314,3,,,,,,,,,,,,,,,,
SWGS 315,3,,,,,,1,,,,,,,,1,,
SWGS 319,3,1,,,,,,,,,,,,,,,
SWGS 320,,,,,,,,,,,,,,,,,1
SWGS 321,3,,,,,,,,,,,,,,,,1
SWGS 322,3,1,,1,1,,1,,,,,,,,,,
SWGS 323,3,,,,,,1,,,,,,,,,,1
SWGS 324,3,,1,,,,,,,1,,,,,,,1
SWGS 325,3,,1,,,,,,,,,,,,,,1
SWGS 327,3,,,,,,,,,,,,,,,,1
SWGS 329,3,,,,,,,,,,,,,,,,1
SWGS 331,3,,1,,,,,,,,,,,,,,1
SWGS 332,,,1,,,,,,,,,,,,,,1
SWGS 333,3,,1,,,,,,,,,,,,,,1
SWGS 334,V,1,,,,,,,,,,,,,,1,1
SWGS 335,3,,1,,,,,,,,,,,,,1,1
SWGS 336,3,,1,,,,,,,,,,,,,,1
SWGS 340,3,,,,,,1,,,,,,,,1,,
SWGS 343,3,,,,,,,,,,,,,,,,1
SWGS 344,3,,,,,,,,,,,,,,,,1
SWGS 345,3,,,,,,,,,,,,,1,,,
SWGS 346,,,,,,,,,,,,,,,,,1
SWGS 347,3,,,,,,,,,,,,,,,,1
SWGS 348,3,,,,,,,,,,,,,,,,1
SWGS 349,3,1,,,,,,,,,,,,,,,1
SWGS 350,3,,1,,,,,,,,,,,,,,1
SWGS 354,3,,,,,,,,,,,,,,,,1
SWGS 358,3,1,,,,,,,,,,,,,,,1
SWGS 361,,1,,,,,,,,,,,,,,,1
SWGS 364,3,,,,,,,,,,,,,,,,
SWGS 365,3,,,,,,,,,,,,,,,,1
SWGS 367,3,,,,,,,,,,,,,,,,1
SWGS 368,3,1,,,,,,,,,,,,,,,1
SWGS 369,3,,,,,,,,,,,,,,,,1
SWGS 370,3,1,,,,,,,,,,,,,,1,1
SWGS 372,3,1,,,,,,,,1,,,,,,,1
SWGS 373,3,,,,,,,1,1,,,,,,,,
SWGS 374,3,,,,,,,1,1,,,,,,,,
SWGS 375,3,,,,,,,,,,,,,,,,
SWGS 376,3,,,,,,,,1,,,,,,,,
SWGS 377,3,,,,,,,,,,,,,,,,
SWGS 378,3,,,,,,,,,,,,,,,,1
SWGS 380,3,,,,,,,,,,,,,1,,,
SWGS 383,3,,1,,,,,,,,,,,1,,,
SWGS 384,3,,,,,,1,,,,,,,,,,
SWGS 385,3,,,,,,,,,,,,,,,,
SWGS 387,,,,,,,,,,,,,,,,1,
SWGS 389,3,,,,,,,,1,,,,,,,,1
SWGS 390,3,,,,,,,,,,,,,,,,1
SWGS 391,,,,,,,,,,,,,,1,,,1
SWGS 395,3,,,,,,,,,,,,,1,,,
SWGS 399,3,,,,,,1,,,,,,,,1,,
SWGS 400,3,,,,,,,,,,,,,,,,
SWGS 405,3,,,,,,,,,,,,,,,,1
SWGS 407,3,,,,,,,,,,,,,1,,,
SWGS 412,3,1,,,,,,,,,,,,,,,1
SWGS 415,3,,,,,,,,,,,,,,,1,
SWGS 420,3,,,,,,,,,,,,,,,,1
SWGS 422,3,1,,,,,,1,,,,,,,1,,
SWGS 424,3,,,,,,,,,,,,,,,,1
SWGS 430,3,,,,,,,,,,,,,1,,,
SWGS 434,3,1,,,,,,,,,,,,,,,1
SWGS 440,3,,,,,,,,,,,,,,,,1
SWGS 444,3,,,,,,,,,,,,,,,,1
SWGS 449,3,,,,,,,,,,,,,,1,,
SWGS 453,3,,,,,,,,,,,,,,,1,1
SWGS 455,,,,,,,,,,,,,,,1,,
SWGS 462,3,,,,,,,,,,,,,,,,1
SWGS 465,3,,,,,,,,,,,,,,,,1
SWGS 466,,,,,,,,,,,,,,,,,1
SWGS 470,3,,,,,,1,,,,,,,,,,1
SWGS 472,3,,,,,,,,,,,,,,,,
SWGS 480,3,,,,,,,,,,,,,1,,,
SWGS 485,3,,,,,,,,,,,,,,,,1
SWGS 492,3,,,,,,1,,,,,,,,1,,
SWGS 494,1,,,,,,,,,,,,,,,,
SWGS 495,V,,,,,,,,,,,,,,,,1
SWGS 496,3,,,,,1,,,,1,1,,,,1,,
SWGS 497,3,,,,,1,,,,1,1,,,,1,,
SWGS 498,3,,,,,,,,,,,,1,,1,,
SWGS 499,3,,,,,,,,,,,,1,,1,,
SWGS 522,3,,,1,,,,,,,,,,,,,
